Location,CEH_Code,code,Sampling_date_yyyymmdd,Latitude,Longitude,Sample_type,Dry_matter_biomass_g,Soil_texture_upper,Soil_pH_upper,Depth_upper_soil_layer,LOI_upper_soil_layer,Upper_bulk_density,Cs137_bqm2_upper ,Cs134_bqm2_upper ,Cs137_bqkg_DM_upper ,Cs134_bqkg_DM_upper ,Ru106_bqkg_DM_upper ,Ru103_bqkg_DM_upper ,K40_bqkg_DM_upper ,Soil_texture_lower,Soil_pH_lower_soil,Depth_lower_soil,LOI_lower_soil,Lower_bulk_density,Cs137_bqkg_DM_lower,Cs134_bqkg_DM_lower,K40_bqkg_DM_lower,Cs137_bqkg_DM_veg,Cs134_bqkg_DM_veg,Ru106_bqkg_DM_veg,K40_bqkg_DM_veg,Cs137_bqkg_gut_contents,Cs134_bqkg_gut_contents,K40_bqkg_gut_contents,Fresh_weight_veg_g,Dry_weight_veg_g,Cs137_bqkg_fresh_flesh,Cs134_bqkg_fresh_flesh,K40_bqkg_fresh_flesh,Fresh_weight_flesh_g,Age_of_wildlife,Habitat,Sex,Cs137_bqkg_dry_gut_contents,Cs134_bqkg_dry_gut_contents,K40_bqkg_dry_gut_contents
United_Kingdom,N3047G1,N3047G,1/6/1986,53.2195702,-3.334397915,Grass,78,,,,,,,,,,,,,,,,,,,,,927.8,,,,,,,,,,,,,,,,,,
United_Kingdom,N3048G1,N3048G,1/6/1986,53.21973695,-3.319425433,Grass,83,,,,,,,,,,,,,,,,,,,,,110.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N3049G1,N3049G,1/6/1986,53.09457056,-3.255855608,Grass,144,,,,,,,,,,,,,,,,,,,,,638.4,,,,,,,,,,,,,,,,,,
United_Kingdom,N3050G1,N3050G,1/6/1986,53.21940157,-3.349370248,Grass,88,,,,,,,,,,,,,,,,,,,,,784,,,,,,,,,,,,,,,,,,
United_Kingdom,N3051G1,N3051G,1/6/1986,52.62692066,-3.271970506,Grass,152,,,,,,,,,,,,,,,,,,,,,1862.3,,,,,,,,,,,,,,,,,,
United_Kingdom,N3052G1,N3052G,1/6/1986,53.14833263,-3.272376763,Grass,158,,,,,,,,,,,,,,,,,,,,,872,,,,,,,,,,,,,,,,,,
United_Kingdom,N3053G1,N3053G,1/6/1986,53.16598257,-3.302816664,Grass,67,,,,,,,,,,,,,,,,,,,,,436.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N3054G1,N3054G,1/6/1986,53.1393459,-3.272111111,Grass,271,,,,,,,,,,,,,,,,,,,,,1094.2,,,,,,,,,,,,,,,,,,
United_Kingdom,N3055G1,N3055G,1/6/1986,53.05575351,-2.344602748,Grass,239,,,,,,,,,,,,,,,,,,,,,1262.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N3056G1,N3056G,1/6/1986,53.10987996,-2.270343617,Grass,285,,,,,,,,,,,,,,,,,,,,,283.3,,,,,,,,,,,,,,,,,,
United_Kingdom,N3057G1,N3057G,1/6/1986,53.10959636,-2.374909985,Grass,170,,,,,,,,,,,,,,,,,,,,,546.1,,,,,,,,,,,,,,,,,,
United_Kingdom,N3058G1,N3058G,1/6/1986,53.18411849,-3.288401198,Grass,64,,,,,,,,,,,,,,,,,,,,,908.6,,,,,,,,,,,,,,,,,,
United_Kingdom,N3059G1,N3059G,1/6/1986,53.24704935,-3.949754102,Grass,167,,,,,,,,,,,,,,,,,,,,,608.6,,,,,,,,,,,,,,,,,,
United_Kingdom,N3060G1,N3060G,1/6/1986,53.11204908,-3.958580493,Grass,124,,,,,,,,,,,,,,,,,,,,,4166.3,,,,,,,,,,,,,,,,,,
United_Kingdom,N3061G1,N3061G,1/6/1986,53.1858295,-3.842205768,Grass,231,,,,,,,,,,,,,,,,,,,,,498.5,,,,,,,,,,,,,,,,,,
United_Kingdom,N3062G1,N3062G,1/6/1986,53.11372345,-3.854062771,Grass,81,,,,,,,,,,,,,,,,,,,,,1200.3,,,,,,,,,,,,,,,,,,
United_Kingdom,N3063G1,N3063G,1/6/1986,53.2193556,-3.993432339,Grass,137,,,,,,,,,,,,,,,,,,,,,784.4,,,,,,,,,,,,,,,,,,
United_Kingdom,N3064G1,N3064G,1/6/1986,53.06004875,-3.836833238,Grass,104,,,,,,,,,,,,,,,,,,,,,1923.1,,,,,,,,,,,,,,,,,,
United_Kingdom,N3065G1,N3065G,1/6/1986,53.15699598,-3.302544485,Grass,80,,,,,,,,,,,,,,,,,,,,,362.8,,,,,,,,,,,,,,,,,,
United_Kingdom,N3066G1,N3066G,1/6/1986,53.08558369,-3.255593915,Grass,163,,,,,,,,,,,,,,,,,,,,,471.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N3067G1,N3067G,1/6/1986,53.07659681,-3.255332363,Grass,66,,,,,,,,,,,,,,,,,,,,,1568.2,,,,,,,,,,,,,,,,,,
United_Kingdom,N3068G1,N3068G,1/6/1986,52.6089456,-3.271449444,Grass,73,,,,,,,,,,,,,,,,,,,,,1016.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N3069G1,N3069G,1/6/1986,53.12153107,-3.256641525,Grass,57,,,,,,,,,,,,,,,,,,,,,923.2,,,,,,,,,,,,,,,,,,
United_Kingdom,N3070G1,N3070G,1/6/1986,52.94746451,-3.534376684,Grass,122,,,,,,,,,,,,,,,,,,,,,716.9,,,,,,,,,,,,,,,,,,
United_Kingdom,N3071G1,N3071G,1/6/1986,53.00978016,-3.581302464,Grass,118,,,,,,,,,,,,,,,,,,,,,2710.6,,,,,,,,,,,,,,,,,,
United_Kingdom,N3072G1,N3072G,1/6/1986,53.15747821,-3.257691379,Grass,193,,,,,,,,,,,,,,,,,,,,,994.4,,,,,,,,,,,,,,,,,,
United_Kingdom,N3073G1,N3073G,1/6/1986,52.98359991,-3.520760993,Grass,83,,,,,,,,,,,,,,,,,,,,,128.2,,,,,,,,,,,,,,,,,,
United_Kingdom,N3074G1,N3074G,1/6/1986,52.98885346,-3.789114274,Grass,108,,,,,,,,,,,,,,,,,,,,,1071.6,,,,,,,,,,,,,,,,,,
