"Sampling_date_yyyymmdd","Latitude","Longitude","Dry_matter_biomass_g","Soil_pH_upper","Depth_upper_soil_layer","LOI_upper_soil_layer","Upper_bulk_density","Soil_pH_lower_soil","Depth_lower_soil","Sample_type","Soil_texture_upper","Soil_texture_lower","Cs137_bqkg_DM_veg","MEM4","MEM8","MEM2","MEM11","MEM43","MEM63","MEM84","MEM163","MEM137","MEM109","MEM34","IND"
"15/10/1986",54.2768244,-2.661867913,180,4,0.15,NA,134,3,0.15,"Bracken","Organic","Silt_Sand",12.6,-1.08127311406104,-0.625566926132902,0.108688923636414,-1.87941109988958,0.0130630561592396,1.46087782672447,1.09711732671978,3.04240915456243,0.674081005365475,0.075295182014155,0.965606350771331,"1"
"15/10/1986",54.2768244,-2.661867913,120.8,5.4,0.06,NA,553,4,0.15,"Grass","Clay_Silt","Silt",26.5,-1.08127311406104,-0.625566926132902,0.108688923636414,-1.87941109988958,0.0130630561592396,1.46087782672447,1.09711732671978,3.04240915456243,0.674081005365475,0.075295182014155,0.965606350771331,"1"
"15/10/1986",54.24991965,-0.389971223,204,4.2,0.15,13.24,211,6,0.15,"Grass","Silt","Loam",12.1,-0.794344736953184,-1.02486055041851,0.0849447998491769,-0.249189944689505,-0.517849181482374,-0.7799278186681,-0.0943823321468879,0.382169145970504,-1.4981161422017,-0.742947328133707,0.207881086373859,"1"
"15/10/1986",54.54641724,-2.666226048,NA,5.9,0.08,21.13,276,6,0.15,"Grass","Silt_Clay","Clay_Silt",7.8,-1.46995423475674,-1.1390991290535,0.140184843359866,-4.13634119707401,0.035892334459613,1.19341621592312,0.643793304244039,2.85834110402229,-0.0640336496980957,0.134190285220576,-0.318286089833202,"1"
"15/10/1986",54.54747237,-2.434358775,NA,3.8,0.02,10.5,2376,4,0.15,"Bracken","Organic_Silt","Silt_Sand",8.3,-0.991855057131207,-0.784544493877117,0.0981381745108564,-2.55917899302852,-0.0435395937385633,1.35038186697076,0.114342364611817,-1.86262759728121,0.575386009461688,0.308426547092267,-0.0418237802654017,"1"
"15/10/1986",54.54747237,-2.434358775,143,NA,0.15,5.62,242,6,0.04,"Grass","Silt_Clay","Clay_Sand",45.4,-0.991855057131207,-0.784544493877117,0.0981381745108564,-2.55917899302852,-0.0435395937385633,1.35038186697076,0.114342364611817,-1.86262759728121,0.575386009461688,0.308426547092267,-0.0418237802654017,"1"
"15/10/1986",54.54797143,-1.738711157,143,6.2,0.06,15.8,429,6,0.15,"Grass","Silt_Clay","Clay_Silt",13.7,-0.893324937750802,-0.871503724722482,0.096373868543736,-1.46895274203997,-0.486057774984379,-0.177603023463983,0.171522895727923,-0.756726390271378,0.526068599013532,0.149000396075289,-0.201458477244928,"1"
"15/10/1986",54.54241573,-0.811310102,212,4.8,0.06,11.74,580,5,0.15,"Grass","Clay_Silt","Clay_Silt",29.5,-0.631572963365625,-0.758734330482272,0.067770715808058,-0.49946193053699,-0.575853239111503,-0.562244550149377,0.502467732034656,0.00757382541513886,-2.43217003815513,-0.381082923375261,0.0175445560175681,"1"
"15/10/1986",54.69571329,-4.375544592,240,5.8,0.06,17.59,708,6,0.15,"Grass","Loam","Loam",416.8,0.295055541912187,-0.171834715320519,0.0937742242836127,-0.109507002774117,-0.291871523139868,0.0581880816240019,0.374291168990763,-1.53959335533455,-0.138844569376542,0.0317439630428091,1.16318037351195,"1"
"15/10/1986",54.66412493,-3.551879683,327,5.9,0.04,10.06,877,6,0.15,"Grass","Silt_Sand","Clay_Silt",273,-0.325597285102087,-0.011536627218195,0.124079299351993,-0.258170605774425,-0.0633229381295473,-0.170378031682965,-0.0536059708806749,0.626763389015702,-0.112135667662809,-0.160626265166817,-6.06193144757261,"1"
"15/10/1986",54.67774883,-3.133640219,518,3.4,0.15,NA,20,4,0.15,"Bracken","Organic","Silt_Sand",210.8,-0.869982637698843,-0.208451399465684,0.0863196450188958,-1.34298203522738,-0.0285302994291792,-2.85660037484015,1.19666118026645,-1.30233792936706,-0.0913031710418586,0.00690916015291483,1.95130579670868,"1"
"15/10/1986",54.67774883,-3.133640219,383,5.6,0.05,36.7,399,4,0.15,"Grass","Clay_Silt","Silt_Sand",1172.5,-0.869982637698843,-0.208451399465684,0.0863196450188958,-1.34298203522738,-0.0285302994291792,-2.85660037484015,1.19666118026645,-1.30233792936706,-0.0913031710418586,0.00690916015291483,1.95130579670868,"1"
"15/10/1986",54.67774883,-3.133640219,126,3.2,0.04,NA,92,4,0.15,"Heather","Organic","Clay_Silt",759.6,-0.869982637698843,-0.208451399465684,0.0863196450188958,-1.34298203522738,-0.0285302994291792,-2.85660037484015,1.19666118026645,-1.30233792936706,-0.0913031710418586,0.00690916015291483,1.95130579670868,"1"
"15/10/1986",54.68087227,-1.272572032,351,6.2,0.06,16.98,481,7,0.15,"Grass","Silt_Clay","Silt",9.9,-0.864119977957846,-0.92941724368949,0.0927619866602173,-1.21221179691591,-0.88263382933608,-0.633278827518839,1.14087726256909,-0.404956193896317,-0.494968207500477,0.486709957195238,-0.220310750530367,"1"
"15/10/1986",54.81599774,-2.670656849,65,5.8,0.08,NA,331,5,0.09,"Grass","Loam","Silt_Sand",16.4,-0.853317277612264,-0.691511583273354,0.0904607120302277,-2.39360658874376,0.0368794707402995,-0.783804797969188,-1.28503595063089,0.329618615419167,-0.67076490013615,0.00895239527050366,-0.109485518423494,"1"
"15/10/1986",54.81784825,-1.970401247,471,3.6,0.15,NA,34,4,0.15,"Bracken","Organic_Silt","Organic",106,-0.678673994568009,-0.678289468934198,0.0752887965389647,-1.37801493470347,-0.661708724500302,0.428417636933574,-1.3472956952569,0.2601283302275,-0.203992463109581,-0.459483171722216,-0.286432042002203,"1"
"15/10/1986",54.81784825,-1.970401247,118,3,0.05,83.93,147,3,0.15,"Grass","Organic","Organic",194.2,-0.678673994568009,-0.678289468934198,0.0752887965389647,-1.37801493470347,-0.661708724500302,0.428417636933574,-1.3472956952569,0.2601283302275,-0.203992463109581,-0.459483171722216,-0.286432042002203,"1"
"15/10/1986",54.81601744,-1.332392455,182,6,0.05,12.04,755,6,0.15,"Grass","Clay_Silt","Clay_Silt",3.7,-0.779738300219179,-0.818881291652588,0.0839059524672486,-1.22185736634074,-0.904629270033102,-0.517845146899669,0.865012690695615,0.0427741313496173,1.27581346750889,0.692598793589722,-0.240907768889095,"1"
